Where was Khatchig Mouradian born?	Lebanon
Where was Jacob Henry Studer born?	Columbus
Where was John Stephen born?	Glasgow
Where was Georgina Willis born?	Australia
Where was Stanley Corrsin born?	Philadelphia
Where was Eduard Ender born?	Rome
Where was John Fisher born?	Glasgow
Where was Iago Dekanozishvili born?	Tbilisi
Where was Lucy Toulmin Smith born?	Boston
Where was George Osborn born?	Rochester
Where was Leslie Hofton born?	Sheffield
Where was Chiyoki Ikeda born?	Honolulu
Where was Geoffrey Nutter born?	Sacramento
Where was Eyolf Kleven born?	Copenhagen
Where was Marvano born?	Belgium
Where was Naïma Azough born?	Morocco
Where was Eugenia Popa born?	Bucharest
Where was Douglas P. Fry born?	Boston
Where was Hans Gefors born?	Stockholm
Where was Sohail Fazal born?	Lahore
Where was James Johnson born?	Virginia
Where was Håvard Rem born?	Oslo
Where was Hubert Schiffer born?	Germany
Where was Ivan Petch born?	Concord
Where was Guido Marzorati born?	Venice
Where was Sean Hickey born?	Detroit
Where was Hector de Castro born?	Constantinople
Where was Lloyd Goffe born?	Reading
Where was Alois Wachsman born?	Prague
Where was Martin Connor born?	Trenton
Where was Mohammad Hossein Barkhah born?	Tehran
Where was James Robert Rhind born?	Inverness
Where was Jean Hamilius born?	Luxembourg
Where was Danny Seward born?	Salford
Where was Stephen Grey born?	Rotterdam
Where was Louie Verrecchio born?	Baltimore
Where was Marcus Junkelmann born?	Munich
Where was John Dodington born?	Toronto
Where was Graham Salisbury born?	Philadelphia
Where was Bunny Johnson born?	Jamaica
Where was Cenk Renda born?	Turkey
Where was Mihael Brejc born?	Belgrade
Where was Gordon Baldwin born?	England
Where was Shlomo Shriki born?	Morocco
Where was Tatiana Belokonenko born?	Odessa
Where was Rob Childs born?	Derby
Where was Andreas Musalus born?	Crete
Where was Francesco Maria Bonini born?	Naples
Where was Raymond McGrath born?	Sydney
Where was Stephen Carter, Baron Carter of Barnes born?	Scotland
Where was Jack Macgougan born?	Belfast
Where was Julia Wilson born?	Sydney
Where was James Jordan born?	Chatham
Where was Wang Yong born?	Shanghai
Where was Ronny Swiggers born?	Belgium
Where was Sofia Ester born?	Lisbon
Where was Nathan Long born?	Australia
Where was Ylli Bufi born?	Tirana
Where was Sir Andrew Agnew, 8th Baronet born?	Edinburgh
Where was John Seru born?	Australia
Where was Sebastiano Maffettone born?	Naples
Where was Wang Wei born?	Beijing
Where was Theodore Baskin born?	Detroit
Where was Ferenc Sipos born?	Budapest
Where was Tadahisa Saizen born?	Tokyo
Where was Arthur Harold Stone born?	London
Where was Bransby Williams born?	London
Where was Walter Branscombe born?	Exeter
Where was Jeanne Deroin born?	Paris
Where was Frederick Pottinger born?	India
Where was Patrick Thomas Stone born?	Pembroke
Where was Andrea Neil born?	Vancouver
Where was Karl Albert Buehr born?	Germany
Where was Alexander Mullenbach born?	Luxembourg
Where was Gilbert John Arrow born?	London
Where was John Howard born?	London
Where was Elizur Goodrich born?	Durham
Where was Zenon Nowosz born?	Warsaw
Where was Greta Knutson born?	Stockholm
Where was Paul Daniels born?	Burlington
Where was Tom Jones born?	Dallas
Where was Elizabeth Bartlett born?	Deal
Where was Laura Moriarty born?	Honolulu
Where was David Moss born?	Doncaster
Where was Richard Tillinghast born?	Memphis
Where was Judith Mok born?	Bergen
Where was Eugen Enderlen born?	Salzburg
Where was Frank Farrell born?	Birmingham
Where was John Savage born?	Dublin
Where was Joel Honig born?	Chicago
Where was Jan Cox Speas born?	Raleigh
Where was Norman Spector born?	Montreal
Where was Peeter van Bredael born?	Antwerp
Where was John Jaffray born?	Stirling
Where was Sir William Coddington, 1st Baronet born?	Salford
Where was Azra Erhat born?	Istanbul
Where was Helen Sharsmith born?	Oakland
Where was Jeff Spiers born?	Belfast
Where was Ilus Vay born?	Budapest
Where was Igors Vihrovs born?	Riga
Where was Harry Chadwick born?	Toronto
Where was Franz Rummel born?	England
Where was Jim Grace born?	Dublin
Where was Ali Sarmini born?	Aleppo
Where was Robert Daniel Murphy born?	Milwaukee
Where was Shannon Emerick born?	Dallas
Where was Walter Gretzky born?	Ontario
Where was Kristian Geelmuyden born?	Oslo
Where was Tala Raassi born?	Iran
Where was Jules Louis Lewal born?	Paris
Where was Patrick Daughters born?	Berkeley
Where was Renaud Gagneux born?	Paris
Where was Elizabeth Burmaster born?	Baltimore
Where was Dave Mazzoni born?	Philadelphia
Where was Aamer Haleem born?	London
Where was John Van Lear McMahon born?	Maryland
Where was Jan Jacob Kieft born?	Amsterdam
Where was Wilhelmine von Hillern born?	Munich
Where was Tracey Magee born?	Belfast
Where was George Edward Hughes born?	Waterford
Where was Alexander Riese born?	Frankfurt
Where was Tina Kim born?	Seoul
Where was Bernard de Wolff born?	Amsterdam
Where was Peter Ording born?	Stade
Where was Branko Rasić born?	Serbia
Where was Ketil Hvoslef born?	Bergen
Where was John Carlin born?	Nottinghamshire
Where was Antonio Selvaggio born?	Palermo
Where was Michael Aufhauser born?	Augsburg
Where was Paula Tesoriero born?	Wellington
Where was John Marcum born?	Toledo
Where was Beth Liebling born?	Illinois
Where was José Bénazéraf born?	Casablanca
Where was Witold Nazarewicz born?	Warsaw
Where was Aarne Lakomaa born?	Finland
Where was Jerry Knight born?	California
Where was Yanitzia Canetti born?	Havana
Where was Ken Niles born?	Livingston
Where was Riccardo Maspero born?	Italy
Where was Margaret Maury born?	Kenya
Where was Bernard Wright born?	Jamaica
Where was Caroline Beil born?	Hamburg
Where was Joseph Judah Chorny born?	Minsk
Where was Thomas Godfrey Faussett born?	Oxford
Where was Árpád Soós born?	Budapest
Where was Samuel Davidson born?	Ireland
Where was Leonard Gyllenhaal born?	Sweden
Where was Sheyene Gerardi born?	Caracas
Where was Bryn Atkinson born?	Canberra
Where was Claudine Chomat born?	France
Where was Peter G. Engelman born?	London
Where was Stanis%C5%82aw Stolarczyk born?	Poland
Where was Sean Naylor born?	Calgary
Where was Jean Muller born?	Luxembourg
Where was Victoria Roberts born?	Manhattan
Where was Thomas F. Konop born?	Franklin
Where was Richard Cullen born?	Brooklyn
Where was Webster Edgerly born?	Massachusetts
Where was Peter Smedley born?	Perth
Where was Eric Ziebold born?	Iowa
Where was Adam Buszko born?	Warsaw
Where was Syms Covington born?	Bedford
Where was Joan Vincent Murray born?	London
Where was Gabriela Kulka born?	Warsaw
